n/a	99	0	0	
Discovering Computer Science	100	3	0	
Introduction to Computing and Programming	107	4	0	
Fortran Programming for Engineers with MatLab	108	3	0	
C/C ++ Programming for Engineers with MatLab	109	3	0	
Program Design I	111	3	0	
Program Design II	141	3	0	
Mathematical Foundations of Computing	151	3	0	
Data Structures and Discrete Mathematics I	201	4	0	
Data Structures and Discrete Mathematics II	202	3	0	
Programming Practicum	211	2	0	
Data Structures	251	4	0	
Machine Organization	261	3	0	
Computer Architecture I: Logic and Computer Structures	266	4	0	
Languages and Automata	301	3	0	
Computer Ethics	335	2	0	
Software Design	340	4	0	
Programming Language Design and Implementation	341	3	0	
Software Design	342	3	0	
Computer Systems	361	3	0	
Computer Design	362	3	0	
Computer Architecture II: Hardware-Software Interface	366	4	0	
Practicum in Computer Science Presentations	376	1	0	
Communication and Ethical Issues in Computing	377	3	0	
Operating Systems Concepts and Design	385	3	0	
Undergraduate Design/Research	398	3	0	
Computer Algorithms I	401	3	4	
Artificial Intelligence I	411	3	4	
Computer Vision I	415	3	4	
Natural Language Processing	421	3	4	
User Interface Design and Programming	422	3	4	
Visualization and Visual Analytics	424	3	4	
Video Game Design and Development	426	3	4	
Software Engineering I	440	3	4	
Distributed Object Programming Using Middleware	441	3	4	
Software Engineering II	442	3	4	
Introduction to Networking	450	3	4	
Design and Implementation of Network Protocols	455	3	4	
Advanced Computer Architecture	466	3	4	
Computer Systems Design	469	3	4	
Compiler Design	473	3	4	
Object-Oriented Languages and Environments	474	3	4	
Object-Oriented Programming	475	3	4	
Programming Language Design	476	3	4	
Public Policy, Legal, and Ethical Issues in Computing, Privacy, and Security	477	3	4	
Software Development for Mobile Platforms	478	3	4	
Database Systems	480	3	4	
Networked Operating Systems Programming	485	4	5	
Secure Operating System Design and Implementation	486	3	4	
Building Secure Computer Systems	487	3	4	
Computer Graphics I	488	0	0	
Seminar	491	1	0	
Special Problems	493	2	0	
Professional Development Seminar	499	0	0	
Computer Algorithms II	501	4	0	
Design and Analysis of Efficient Algorithms in Computational Molecular Biology	502	4	0	
Applied Graph Theory	503	4	0	
Computability and Complexity Theory	505	4	0	
Artificial Intelligence II	511	4	0	
Expert Systems	514	4	0	
Advanced Computer Vision	515	4	0	
Statistical Natural Language Processing	521	4	0	
Human-Computer Interaction	522	4	0	
Multi-Media Systems	523	4	0	
Visualization and Visual Analytics II	524	4	0	
Advanced Graphics Processor Programming	525	4	0	
Computer Graphics II	526	4	0	
Computer Animation	527	4	0	
Virtual Reality	528	4	0	
Advanced Topics in Software Engineering	540	4	0	
Software Engineering Environments	541	4	0	
Distributed Software Engineering	542	4	0	
Formal Methods In Concurrent and Distributed Systems	545	4	0	
Distributed Computing Systems	553	4	0	
Advanced Topics in Concurrent Computing Systems	554	4	0	
Neural Networks	559	4	0	
Fuzzy Logic	560	4	0	
Physical Design Automation	565	4	0	
Parallel Processing	566	4	0	
Principles of Computational Transportation Science	567	4	0	
High-Performance Processors and Systems	569	4	0	
Object Stores	577	4	0	
Query Processing in Database Systems	580	4	0	
Database Management Systems	581	4	0	
Information Retrieval	582	4	0	
Data Mining and Text Mining	583	4	0	
Advanced Data Mining	584	4	0	
Data and Web Semantics	586	4	0	
Computer Systems Security	587	4	0	
Security and Privacy in Networked and Distributed Systems	588	4	0	
Research Methods in Computer Science	590	4	0	
Special Topics	594	4	0	
Departmental Seminar	595	0	0	
Individual Study	596	1	0	
Project Research	597	0	0	
M.S. Thesis Research	598	0	0	
Ph.D. Thesis Research	599	0	0	
